created_at,entry_id,field1,field2,field3,field4,field5
2024-10-10 03:26:21 UTC,22,247.00,50.00,0.00,,
2024-10-10 03:26:37 UTC,23,239.00,49.00,0.00,,
2024-10-10 04:13:16 UTC,24,130.00,0.00,0.00,,
2024-10-10 04:13:32 UTC,25,342.00,192.00,0.00,,
2024-10-10 04:13:48 UTC,26,339.00,126.00,0.00,,
2024-10-10 04:14:24 UTC,27,304.00,29.00,0.00,0.00,0.00
2024-10-10 04:14:40 UTC,28,320.00,25.00,0.00,0.00,0.00
2024-10-10 04:14:56 UTC,29,303.00,18.00,0.00,0.00,0.00
2024-10-10 04:15:12 UTC,30,298.00,19.00,0.00,0.00,0.00
2024-10-10 04:15:27 UTC,31,283.00,11.00,0.00,0.00,0.00
2024-10-10 04:15:52 UTC,32,268.00,0.00,0.00,0.00,0.00
2024-10-10 04:16:07 UTC,33,270.00,13.00,0.00,0.00,0.00
2024-10-10 04:16:23 UTC,34,241.00,0.00,0.00,0.00,0.00
2024-10-10 04:16:39 UTC,35,241.00,0.00,0.00,0.00,0.00
2024-10-10 04:16:54 UTC,36,237.00,0.00,0.00,0.00,0.00
2024-10-10 04:17:10 UTC,37,237.00,0.00,0.00,0.00,0.00
2024-10-10 04:17:26 UTC,38,226.00,0.00,0.00,0.00,0.00
2024-10-10 04:17:44 UTC,39,211.00,0.00,0.00,0.00,0.00
2024-10-10 04:18:00 UTC,40,209.00,0.00,0.00,0.00,0.00
2024-10-10 04:18:15 UTC,41,209.00,0.00,0.00,0.00,0.00
2024-10-10 04:18:31 UTC,42,218.00,0.00,0.00,0.00,0.00
2024-10-10 04:29:52 UTC,43,22.00,0.00,0.00,3.00,4.00
2024-10-10 04:30:08 UTC,44,235.00,46.00,0.00,5.00,6.00
2024-10-10 04:30:23 UTC,45,247.00,51.00,0.00,5.00,6.00
2024-10-10 04:30:39 UTC,46,241.00,18.00,0.00,5.00,6.00
2024-10-10 04:30:55 UTC,47,241.00,23.00,0.00,5.00,6.00
2024-10-10 04:31:11 UTC,48,236.00,13.00,0.00,5.00,10.00
2024-10-10 04:31:26 UTC,49,224.00,15.00,0.00,5.00,10.00
2024-10-10 04:31:42 UTC,50,210.00,0.00,0.00,6.00,4932.00
2024-10-10 04:31:58 UTC,51,201.00,0.00,0.00,0.00,0.00
2024-10-10 04:32:14 UTC,52,205.00,1.00,0.00,0.00,0.00
2024-10-10 04:32:29 UTC,53,194.00,0.00,0.00,0.00,0.00
2024-10-10 04:32:45 UTC,54,190.00,0.00,0.00,0.00,0.00
2024-10-10 04:33:15 UTC,55,152.00,0.00,0.00,7.00,14.00
2024-10-10 04:33:31 UTC,56,176.00,0.00,0.00,7.00,15.00
2024-10-10 05:57:47 UTC,57,112.00,0.00,0.00,4.00,9.00
2024-10-10 05:58:02 UTC,58,389.00,203.00,0.00,4.00,9.00
2024-10-10 05:58:18 UTC,59,418.00,128.00,0.00,4.00,8.00
2024-10-10 05:58:34 UTC,60,407.00,64.00,0.00,5.00,12.00
2024-10-10 05:58:49 UTC,61,384.00,34.00,0.00,4.00,13.00
2024-10-10 05:59:05 UTC,62,368.00,23.00,0.00,5.00,14.00
2024-10-10 05:59:21 UTC,63,353.00,17.00,0.00,5.00,19.00
2024-10-10 05:59:36 UTC,64,320.00,5.00,0.00,5.00,4932.00
2024-10-10 05:59:52 UTC,65,300.00,0.00,0.00,0.00,0.00
2024-10-10 06:00:08 UTC,66,288.00,3.00,0.00,0.00,0.00
2024-10-10 06:00:24 UTC,67,283.00,0.00,0.00,0.00,0.00
2024-10-10 06:00:39 UTC,68,256.00,0.00,0.00,0.00,0.00
2024-10-10 06:00:55 UTC,69,260.00,0.00,0.00,7.00,16.00
2024-10-10 06:01:11 UTC,70,243.00,0.00,0.00,6.00,14.00
2024-10-10 06:01:27 UTC,71,240.00,0.00,0.00,6.00,10.00
2024-10-10 06:01:42 UTC,72,217.00,0.00,0.00,6.00,12.00
2024-10-10 06:01:58 UTC,73,218.00,0.00,0.00,6.00,13.00
2024-10-10 06:02:14 UTC,74,208.00,0.00,0.00,6.00,11.00
2024-10-10 06:02:29 UTC,75,208.00,0.00,0.00,0.00,0.00
2024-10-10 06:02:45 UTC,76,195.00,0.00,0.00,0.00,0.00
2024-10-10 06:03:01 UTC,77,196.00,0.00,0.00,7.00,15.00
2024-10-10 06:03:16 UTC,78,188.00,0.00,0.00,6.00,15.00
2024-10-10 06:03:32 UTC,79,193.00,0.00,0.00,6.00,12.00
2024-10-10 06:03:48 UTC,80,193.00,0.00,0.00,7.00,15.00
2024-10-10 06:04:04 UTC,81,181.00,0.00,0.00,6.00,16.00
2024-10-10 06:04:20 UTC,82,177.00,0.00,0.00,6.00,13.00
2024-10-10 06:04:35 UTC,83,176.00,0.00,0.00,4932.00,4932.00
2024-10-10 06:04:51 UTC,84,173.00,0.00,0.00,0.00,0.00
2024-10-10 06:05:07 UTC,85,176.00,0.00,0.00,0.00,0.00
2024-10-10 06:05:22 UTC,86,172.00,0.00,0.00,0.00,0.00
2024-10-10 06:05:38 UTC,87,163.00,0.00,0.00,0.00,0.00
2024-10-10 06:05:54 UTC,88,175.00,0.00,0.00,6.00,14.00
2024-10-10 06:06:10 UTC,89,160.00,0.00,0.00,6.00,11.00
2024-10-10 06:06:26 UTC,90,171.00,0.00,0.00,7.00,13.00
2024-10-10 06:06:41 UTC,91,163.00,0.00,0.00,6.00,14.00
2024-10-10 06:06:57 UTC,92,171.00,0.00,0.00,6.00,12.00
2024-10-10 06:07:13 UTC,93,161.00,0.00,0.00,6.00,13.00
2024-10-10 06:07:28 UTC,94,162.00,0.00,0.00,0.00,0.00
2024-10-10 06:07:44 UTC,95,160.00,0.00,0.00,0.00,0.00
2024-10-10 06:08:00 UTC,96,161.00,0.00,0.00,5.00,10.00
2024-10-10 06:08:15 UTC,97,166.00,0.00,0.00,6.00,13.00
2024-10-10 06:08:31 UTC,98,175.00,0.00,0.00,6.00,14.00
2024-10-10 09:45:36 UTC,99,161.00,0.00,0.00,4.00,5.00
2024-10-10 09:45:52 UTC,100,557.00,259.00,0.00,7.00,7.00
2024-10-10 09:46:08 UTC,101,550.00,197.00,0.00,8.00,10.00
2024-10-10 09:46:24 UTC,102,530.00,117.00,0.00,8.00,11.00
2024-10-10 09:46:39 UTC,103,522.00,80.00,0.00,9.00,14.00
2024-10-10 09:46:55 UTC,104,488.00,59.00,0.00,9.00,13.00
2024-10-10 09:47:11 UTC,105,448.00,38.00,0.00,9.00,4932.00
2024-10-10 09:47:26 UTC,106,443.00,32.00,0.00,0.00,0.00
2024-10-10 09:47:42 UTC,107,405.00,28.00,0.00,0.00,0.00
2024-10-10 09:47:58 UTC,108,385.00,18.00,0.00,0.00,0.00
2024-10-10 09:48:13 UTC,109,365.00,14.00,0.00,0.00,0.00
2024-10-10 09:48:29 UTC,110,342.00,7.00,0.00,9.00,15.00
2024-10-10 09:48:45 UTC,111,336.00,7.00,0.00,9.00,18.00
2024-10-10 09:49:00 UTC,112,321.00,13.00,0.00,9.00,19.00
2024-10-10 09:49:16 UTC,113,304.00,0.00,0.00,9.00,19.00
2024-10-10 09:49:32 UTC,114,275.00,0.00,0.00,9.00,17.00
2024-10-10 09:49:48 UTC,115,283.00,5.00,0.00,9.00,16.00
2024-10-10 09:50:03 UTC,116,272.00,0.00,0.00,0.00,0.00
2024-10-11 06:37:54 UTC,117,112.00,0.00,144.00,10.00,16.00
2024-10-11 06:38:10 UTC,118,130.00,0.00,127.00,11.00,16.00
2024-10-11 06:38:27 UTC,119,107.00,0.00,112.00,0.00,0.00
2024-10-11 06:39:03 UTC,120,105.00,0.00,97.00,0.00,0.00
2024-10-11 06:39:19 UTC,121,101.00,0.00,83.00,0.00,0.00
